date,ticker,price,volume,daily_return,dividend,low_bid,high_ask,sp500_return,news_score,twitter_score,final_sentiment_score,sentiment_1d,sentiment_3d_avg,sentiment_7d_avg
11/24/2023,ORCL,116.25,2168187.0,8.6e-05,,115.34,116.59,0.000597,0.9999990463256836,0.0,0.6499993801116943,0.0,0.21666646003723145,0.06229469009808131
12/11/2023,ORCL,115.13,19544239.0,0.013379,,113.61,115.35,0.003925,0.2499977946281433,0.0,0.1624985665082931,0.0,0.18825019896030423,0.03425009633813585
12/12/2023,ORCL,100.81,57666473.0,-0.124381,,100.69,104.95,0.004599,0.0,0.0,0.0,0.325,0.16249952216943106,0.08067866776670729
12/13/2023,ORCL,102.99,29392208.0,0.021625,,99.26,103.1,0.013651,0.0,0.1522426903247833,0.0532849416136741,0.0,-0.19660905649264657,-0.014618371852806651
12/18/2023,ORCL,105.0,13473124.0,0.01626,,102.91,106.156,0.004528,0.0,0.0,0.0,0.0532849416136741,0.017761647204558032,-0.014618371852806651
12/19/2023,ORCL,106.25,10108507.0,0.011905,,104.8,106.34,0.005866,0.0,0.0,0.0,0.1651734232902526,0.05505780776341754,-0.060664820883955306
02/01/2024,ORCL,115.53,7882168.0,0.034288,,112.55,115.78,0.012494,-0.999985933303833,0.0,-0.6499908566474915,0.0,-0.21666361888249716,-0.09285583666392735
02/20/2024,ORCL,108.45,10975638.0,-0.025694,,107.68,110.765,-0.006005,0.9822877645492554,0.0,0.638487046957016,0.65,0.21282924811045326,-0.0016433017594473798
03/08/2024,ORCL,112.42,8312943.0,-0.018509,,111.54,114.33,-0.006529,0.6969651579856873,0.0,0.4530273526906967,0.0,0.15100911756356558,0.15593072814600806
03/11/2024,ORCL,114.13,20438335.0,0.015211,,111.18,114.75,-0.001122,0.5,0.0,0.325,-0.649899035692215,-0.21663299898306532,-0.232776640355587
03/12/2024,ORCL,127.54,48536077.0,0.117498,,124.6,129.37,0.011202,0.2860475579897563,0.0,0.1859309126933415,0.0,0.17031030423111382,-0.25199482071967355
04/04/2024,ORCL,124.19,7588298.0,-0.016239,,124.03,127.99,-0.012334,0.0,0.0,0.0,0.0,0.21666431625684102,0.0730035465388071
05/14/2024,ORCL,120.87,17811221.0,0.03867,,116.13,122.55,0.004838,0.0,0.0,0.0,0.0,0.21666666666666667,0.18571428571428572
05/15/2024,ORCL,121.63,6604632.0,0.006288,,119.67,122.09,0.011716,0.0,0.0,0.0,0.0,0.0,0.18571428571428572
05/17/2024,ORCL,123.5,6179367.0,0.010969,,122.08,123.58,0.001165,0.0,0.3075902163982391,0.1076565757393837,0.2326743006706237,0.11344362547000246,0.1414758394871439
07/26/2024,ORCL,139.00999,5139377.0,0.008634,,138.38,139.96001,0.01109,0.0,0.0,0.0,0.3179234772920608,0.21905455191930132,0.19861613512039183
07/29/2024,ORCL,138.31,4054647.0,-0.005036,,137.825,139.78,0.000813,0.0,-0.558404803276062,-0.1954416811466217,0.1821314007043838,-0.004436760147412631,0.19671466648578642
07/30/2024,ORCL,135.67,6505701.0,-0.019088,,134.96001,139.565,-0.00496,0.0,0.0,0.0,-0.1954416811466217,-0.004436760147412631,0.10646956413984297
12/27/2021,MSFT,342.45001,19930278.0,0.023186,,335.42999,342.48001,0.013839,0.0,0.0,0.0,0.053755047917366,0.017918349305788703,0.04234131276607511
01/03/2022,MSFT,334.75,28823566.0,-0.004668,,329.78,338.0,0.006374,0.0,0.0,0.0,0.2166666150093078,0.0722222050031026,0.0722222050031026
01/04/2022,MSFT,329.01001,32626156.0,-0.017147,,326.12,335.20001,-0.00063,0.0,0.0,0.0,0.0,0.0,0.0361111025015513
01/06/2022,MSFT,313.88,39744069.0,-0.007902,,311.48999,318.70001,-0.000964,0.0,0.2995040118694305,0.1048264041543006,0.0,0.06335381915171936,0.0271516367793083
05/24/2022,MSFT,259.62,28978811.0,-0.003952,,253.5,261.32999,-0.008121,0.0,0.0,0.0,0.3249996513128281,0.20012537837028507,0.21999102128403525
05/27/2022,MSFT,273.23999,26872388.0,0.027604,,267.56,273.34,0.024742,0.0,0.3189393679300944,0.111628778775533,0.3206093072891235,0.14407936202155222,0.11579517388627643
06/01/2022,MSFT,272.42001,25222078.0,0.002023,,270.04001,277.69,-0.007483,0.0,0.0,0.0,0.0,0.0,0.11270251455761136
06/02/2022,MSFT,274.57999,43962274.0,0.007929,,261.60001,274.64999,0.018431,0.0,0.1761819720268249,0.0616636902093887,0.0,0.020554563403129604,0.05976331514971596
06/06/2022,MSFT,268.75,22369147.0,-0.004703,,267.22,274.17999,0.003137,0.0,0.0,0.0,0.0,0.0,0.05343021452426909
06/09/2022,MSFT,264.79001,26410262.0,-0.020783,,264.63,272.7081,-0.023799,0.0,0.0,0.0,0.0,0.049108047783374804,0.0210463061928749
06/13/2022,MSFT,242.25999,46078951.0,-0.042413,,241.53,249.0242,-0.038768,0.0,0.1365043818950653,0.0477765336632728,0.3044507126013437,0.11740908208820554,0.07136448423067726
06/14/2022,MSFT,244.49001,28721420.0,0.009205,,241.50999,245.74001,-0.003774,0.0,0.9523348212242126,0.3333171874284744,-0.1735053479671478,0.0691961243748665,0.07314844081799188
06/15/2022,MSFT,251.75999,33062174.0,0.029735,,246.42,255.3,0.014593,0.0,0.0,0.0,0.0,0.0,0.07314844081799188
06/30/2022,MSFT,256.82999,31684145.0,-0.013179,,252.89999,259.53,-0.008759,0.0,0.0,0.0,0.0,-0.21664065718650816,-0.05723183226017725
07/06/2022,MSFT,266.20999,23803616.0,0.012783,,262.39999,267.98999,0.003573,0.0,0.2183061987161636,0.0764071695506572,0.0,-0.18154580717285476,-0.07780534593122349
07/07/2022,MSFT,268.39999,20831005.0,0.008227,,265.01999,269.05499,0.014965,0.0,0.0,0.0,0.0764071695506572,0.02546905651688577,-0.07780534593122349
07/11/2022,MSFT,264.51001,19495346.0,-0.011769,,262.17999,266.53,-0.011527,0.0,0.5099478363990784,0.1784817427396774,0.5055311113595962,0.1780033071835836,0.0872024415859154
07/13/2022,MSFT,252.72,29440411.0,-0.003745,,248.11,253.55,-0.004457,0.0,0.0,0.0,0.1585441097617149,-0.019221955703364463,-0.0940741403471856
07/15/2022,MSFT,256.72,29731770.0,0.01039,,254.77271,260.3699,0.019201,0.0,0.3474312424659729,0.1216009348630905,0.0,0.04053364495436353,-0.17441870023806888
07/21/2022,MSFT,264.84,22358549.0,0.009799,,257.03,264.89001,0.009861,0.0,0.0,0.0,0.0,-0.23932734496063654,-0.06967258912821608
07/22/2022,MSFT,260.35999,21886787.0,-0.016916,,259.07001,265.32999,-0.009332,0.0,0.0,0.0,0.1121314132213592,0.0373771377404531,-0.0293408848841985
07/25/2022,MSFT,258.82999,21014597.0,-0.005876,,256.81,261.5,0.001315,0.0,0.0,0.0,0.1076694856087366,0.14422314895523922,0.09338203491199583
07/26/2022,MSFT,251.89999,39305704.0,-0.026774,,249.57001,259.88,-0.011543,0.0,0.075913207097487,0.0265696224841204,-0.2750722587108611,-0.19116687386324907,-0.020118739246289968
07/27/2022,MSFT,268.73999,45872274.0,0.066852,,258.85001,270.04999,0.026156,0.0,-0.0517837703227996,-0.0181243196129798,0.0,-0.006041439870993229,-0.08451784874324672
07/28/2022,MSFT,276.41,33420198.0,0.028541,,267.87,277.84,0.012133,0.0,0.0,0.0,0.0,-0.006041439870993229,-0.038089565119960055
07/29/2022,MSFT,280.73999,32108742.0,0.015665,,276.63,282.0,0.014208,0.0,0.0,0.0,-0.5089304685592652,-0.16964348951975503,-0.07529354116746356
08/01/2022,MSFT,278.01001,21489986.0,-0.009724,,275.84,281.28,-0.002823,0.0,0.0,0.0,0.1740713760256767,0.05802379200855894,-0.042483248526141756
08/02/2022,MSFT,274.82001,22724711.0,-0.011474,,272.38,277.89001,-0.006662,0.0,0.0,0.0,0.0,0.0929095099369685,0.07003946552673976
08/03/2022,MSFT,282.47,23479333.0,0.027836,,276.60999,283.5,0.015638,0.0,0.6097747683525085,0.2134211689233779,0.2866938531398773,0.16670500735441843,0.11126336455345152
08/08/2022,MSFT,280.32001,18704871.0,-0.009155,,279.32001,285.92001,-0.001238,0.0,0.0,0.0,0.0,0.025362653533617673,0.09925201833248135
08/09/2022,MSFT,282.29999,23372280.0,0.007063,,277.60999,283.07999,-0.004249,0.0,0.0,0.0,0.0,-0.031022044022877962,0.026430326700210567
08/10/2022,MSFT,289.16,24667967.0,0.0243,,286.94,289.81,0.021291,0.0,0.0,0.0,0.0,0.0,-0.013295161724090563
08/11/2022,MSFT,287.01999,20040426.0,-0.007401,,286.51001,291.20999,-0.000705,0.0,0.0,0.0,0.2153229773044586,0.0717743257681529,0.017465263605117808
08/12/2022,MSFT,291.91,22594634.0,0.017037,,286.94,291.91,0.017322,0.0,0.0,0.0,0.0,0.0,0.03076042532920838
08/15/2022,MSFT,293.47,18047996.0,0.005344,,290.10999,294.17999,0.003969,0.0,0.2707861959934234,0.0947751685976982,0.0,0.10270753751198454,0.044017516076564796
08/18/2022,MSFT,290.17001,17115250.0,-0.003948,,289.07999,291.91,0.00227,0.0,0.0,0.0,0.0,0.0,0.044017516076564796
08/22/2022,MSFT,277.75,25027194.0,-0.029355,,277.22,282.45999,-0.0214,0.0,0.0,0.0,0.0,0.06324695547421777,0.027105838060379035
08/24/2022,MSFT,275.79001,18108036.0,-0.002351,,275.10999,277.23001,0.002916,0.0,0.0,0.0,0.0,0.0,0.027105838060379035
08/25/2022,MSFT,278.85001,16811891.0,0.011095,,274.51999,279.01999,0.014092,0.0,0.0,0.0,0.0,0.0,0.0
08/26/2022,MSFT,268.09,27521465.0,-0.038587,,267.98001,280.34,-0.033688,0.0,0.0,0.0,0.0,0.0,0.0
08/29/2022,MSFT,265.23001,20303469.0,-0.010668,,263.85001,267.39999,-0.006666,0.0,0.0,0.0,0.0,-0.041970444222291264,0.1181616376553263
08/31/2022,MSFT,261.47,24745835.0,-0.005704,,261.32999,267.10999,-0.007817,0.0,0.0,0.0,0.0,-0.21661393741766607,-0.06753004980938775
