date,ticker,price,volume,daily_return,dividend,low_bid,high_ask,sp500_return,news_score,twitter_score,final_sentiment_score,sentiment_1d,sentiment_3d_avg,sentiment_7d_avg,year,tic,datadate,fundamental_score,score_pe,score_pb,score_ev_ebitda,score_roce,score_margin,score_turnover,score_inventory,score_accruals,score_dte,score_cov,sentiment_verdict,final_verdict
2022-07-28,BK,43.03,2131847.0,0.003498,,42.02,43.2,0.012133,-0.4999973773956299,0.0,-0.3249982953071594,0.0,-0.1083327651023864,-0.1238341735942023,2022,BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188012,0.25254730713246,0.3972881355932203,0.5115020297699594,0.050744248985115,0.7174515235457064,0.96617050067659,0.4501694915254237,,Sell,Leaning Sell
2022-08-19,BK,43.89,3649210.0,-0.017241,,43.604,44.3688,-0.0129,-0.999990463256836,0.0,-0.6499938011169435,0.0,-0.2166646003723145,-0.1392846958977835,2022,BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188012,0.25254730713246,0.3972881355932203,0.5115020297699594,0.050744248985115,0.7174515235457064,0.96617050067659,0.4501694915254237,,Sell,Leaning Sell
2022-09-20,BK,43.27,2953249.0,-0.021262,,42.9,43.91,-0.011272,0.999909520149231,0.0,0.6499411880970002,0.0,0.216647062699,-6.940535136628385e-06,2022,BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188012,0.25254730713246,0.3972881355932203,0.5115020297699594,0.050744248985115,0.7174515235457064,0.96617050067659,0.4501694915254237,,Buy,Leaning Buy
2022-10-17,BK,40.36,7340322.0,0.050768,,39.48,40.96,0.02648,0.9999998807907104,0.0,0.6499999225139618,0.0,2.5828679454479683e-08,0.1392766539539609,2022,BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188012,0.25254730713246,0.3972881355932203,0.5115020297699594,0.050744248985115,0.7174515235457064,0.96617050067659,0.4501694915254237,,Buy,Leaning Buy
2022-12-09,BK,44.71,4406310.0,0.002691,,44.47,45.22,-0.00735,0.9999998807907104,0.0,0.6499999225139618,0.0,0.2166666408379872,0.000711919580187,2022,BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188012,0.25254730713246,0.3972881355932203,0.5115020297699594,0.050744248985115,0.7174515235457064,0.96617050067659,0.4501694915254237,,Buy,Leaning Buy
2023-06-20,BK,44.36,4586268.0,-0.006495,,43.99,44.51,-0.004735,-0.4065908789634704,0.0,-0.2642840713262558,-0.6491188675165176,-0.3044676462809244,-0.0393307174955095,2023,BK,2023-12-31,0.5348932632247474,0.7338325391422736,0.8903269754768393,0.3136826783114993,0.4230508474576271,0.3721244925575101,0.084573748308525,0.7188365650969529,0.8410013531799729,0.4366101694915254,,Sell,Leaning Sell
2023-07-18,BK,45.33,10867010.0,0.041112,,43.1,45.825,0.007117,1.0,0.0,0.65,0.6499994575977326,0.4333331525325776,0.2321427187749317,2023,BK,2023-12-31,0.5348932632247474,0.7338325391422736,0.8903269754768393,0.3136826783114993,0.4230508474576271,0.3721244925575101,0.084573748308525,0.7188365650969529,0.8410013531799729,0.4366101694915254,,Buy,Leaning Buy
2024-01-12,BK,54.85,8419410.0,0.040205,,54.055,55.284,0.000751,1.0,0.0,0.65,0.0,0.2166666666666666,0.1625,2024,,,0.5,,,,,,,,,,,Buy,Leaning Buy
2024-04-16,BK,54.0,8232834.0,-0.019786,,52.64,55.6941,-0.002057,-0.5259829759597778,0.0,-0.3418889343738556,-0.6477560430765152,-0.1134012172619502,-0.0950290654386793,2024,,,0.5,,,,,,,,,,,Sell,Leaning Sell
2024-04-17,BK,54.46,4513903.0,0.008519,,54.085,54.98,-0.005781,-0.2108090321222941,0.0,-0.1370258708794911,-0.3418889343738556,-0.3755569494432873,-0.1146041898500351,2024,,,0.5,,,,,,,,,,,Sell,Leaning Sell
