tic,datadate,fundamental_score,score_pe,score_pb,score_ev_ebitda,score_roce,score_margin,score_turnover,score_inventory,score_accruals,score_dte,score_cov
CRS,2024-06-30,0.4433627177827567,0.327433628318584,0.4782016348773842,0.6390101892285298,0.5288135593220339,0.2503382949932341,0.7219215155615697,0.1835180055401662,0.2746955345060893,0.6176271186440678,0.41206769683590877
CAT,2021-12-31,0.4571323045741328,0.6153846153846154,0.24863760217983655,0.6004366812227074,0.6216949152542373,0.506765899864682,0.5818673883626523,0.15373961218836565,0.5947225981055481,0.16610169491525428,0.481972038263429
CAT,2022-12-31,0.4878875331565151,0.5759019741320626,0.20435967302452318,0.6724890829694323,0.7701694915254237,0.4472259810554804,0.6596752368064953,0.15512465373961218,0.6694857916102841,0.15932203389830513,0.565121412803532
CAT,2023-12-31,0.5666783772902457,0.6923076923076923,0.2159400544959128,0.7867540029112081,0.8908474576271187,0.5953991880920162,0.6840324763193505,0.1592797783933518,0.8355886332882273,0.24813559322033896,0.5584988962472406
CHE,2021-12-31,0.5549798180655582,0.2995234853641934,0.1110354223433242,0.29694323144104806,0.9166101694915254,0.5027063599458728,0.9431664411366711,0.7015235457063712,0.21515561569688768,0.6094915254237288,0.9536423841059603
CHE,2022-12-31,0.577218571249116,0.30428863172226006,0.1607629427792916,0.37772925764192145,0.9098305084745762,0.46820027063599456,0.93234100135318,0.6987534626038782,0.2368064952638701,0.76,0.9234731420161884
CHE,2023-12-31,0.5738674942935595,0.2763784887678693,0.19822888283378748,0.2947598253275109,0.8501694915254238,0.4844384303112314,0.9113667117726658,0.6945983379501385,0.23410013531799734,0.8542372881355932,0.9403973509933775
JPM,2021-12-31,0.5025440944689685,0.8175629680054459,0.7254768392370572,0.20742358078602618,0.511864406779661,0.9431664411366711,0.014208389715832206,0.006232686980609419,0.9939106901217862,0.3030508474576271,
JPM,2022-12-31,0.5385852147288457,0.7964601769911505,0.7990463215258856,0.1717612809315866,0.44,0.8105548037889039,0.035182679296346414,0.46883656509695293,0.9993234100135318,0.3261016949152542,
JPM,2023-12-31,0.44069580326517194,0.8134785568413887,0.7670299727520435,0.21615720524017468,0.46508474576271186,0.7516914749661705,0.06562922868741543,0.600415512465374,0.002029769959404626,0.28474576271186436,
CVX,2021-12-31,0.6701323629559016,0.7018379850238257,0.7677111716621253,0.8566229985443959,0.2922033898305085,0.38430311231393777,0.6075778078484438,0.590027700831025,0.969553450608931,0.7647457627118643,0.7667402501839587
